name,avg_d_kbps,avg_u_kbps,avg_lat_ms
Johor,171141.29059180577,70254.1502276176,12.412177541729895
Kedah,162783.46156351792,65849.7022801303,12.918241042345278
Kelantan,141815.27469779074,58107.934556065025,18.82951229679033
Kuala Lumpur,221032.4089285714,123059.43035714286,6.682142857142857
Labuan,185408.96124031008,71795.19379844962,13.178294573643411
Melaka,168299.33831521738,69516.71603260869,10.43274456521739
Negeri Sembilan,166508.77817993794,66002.73267838676,11.338159255429161
Pahang,154927.2704672096,61143.03129018431,15.137162451778826
Perak,162635.93935381356,65083.36122881356,12.400158898305085
Perlis,165562.4688581315,64315.117647058825,12.228373702422145
Pulau Pinang,188150.17248459958,83371.22655715264,9.78507871321013
Putrajaya,169359.7111111111,89303.75555555556,7.911111111111111
Sabah,154170.15742074928,59858.771613832854,30.407420749279538
Sarawak,165380.69448769855,62888.79103083152,35.60666459047026
Selangor,194766.72411511742,87136.86238835593,7.394641085014886
Terengganu,154473.60331905782,64173.565845824414,16.836188436830835
